Resource Name,Phone Number,Description,Keywords,Website
National Suicide Prevention Lifeline,1-800-273-8255,"24/7 support for people in distress, prevention and crisis resources",suicide prevention,https://suicidepreventionlifeline.org/
Crisis Text Line,Text HOME to 741741,"Free 24/7 text line for those in crisis, available anywhere in the USA",texting crisis,https://www.crisistextline.org/
SAMHSA's National Helpline,1-800-662-4357,"Treatment referral and information service for individuals facing mental health or substance use disorders",substance abuse,https://www.samhsa.gov/find-help/national-helpline
National Domestic Violence Hotline,1-800-799-7233,"Resources for domestic abuse cases, accessible 24/7",domestic violence,https://www.thehotline.org/
Veterans Crisis Line,1-800-273-8255 Press 1,"Resources and crisis support available 24/7 for veterans and their families",veterans,https://www.veteranscrisisline.net/
National Eating Disorders Association Helpline,1-800-931-2237,"Support and resources for those affected by eating disorders",eating disorders,https://www.nationaleatingdisorders.org/
National Alliance on Mental Illness Helpline,1-800-950-6264,"Information, referrals and support for people living with mental health conditions",mental health,https://www.nami.org/help
Trevor Project,1-866-488-7386,"Crisis intervention and suicide prevention for LGBTQ+ young people",LGBTQ+,https://www.thetrevorproject.org/
National Sexual Assault Hotline,1-800-656-4673,"Confidential support for sexual assault survivors, available 24/7",sexual assault,https://www.rainn.org/
Childhelp National Child Abuse Hotline,1-800-422-4453,"Professional crisis counselors for child abuse situations, with crisis intervention and professional counseling",child abuse,https://www.childhelp.org/
Disaster Distress Helpline,1-800-985-5990,"24/7 crisis counseling for people experiencing emotional distress related to natural or human-caused disasters",disaster relief,https://www.samhsa.gov/find-help/disaster-distress-helpline
National Runaway Safeline,1-800-786-2929,"Crisis intervention and resources for youth at risk of running away or already have",runaway youth,https://www.1800runaway.org/
National Human Trafficking Hotline,1-888-373-7888,"Support for human trafficking victims and survivors, with access to critical services",human trafficking,https://humantraffickinghotline.org/
National Parent Helpline,1-855-427-2736,"Emotional support for parents and caregivers",parenting support,https://www.nationalparenthelpline.org/
